content,flag
"正时皮带,,正时皮带惰轮轴承,",0
附加更换火花塞、刹车油,0
C6更换两后后减震器或附件,1
清洗发动机及线束保养,0
备注：建议清洗积碳更换火花塞,0
保养按解锁键右后门无法打开(申,1
三角皮带轮更换,0
发动机弹道校正（材料）660,0
更换天窗开关（自动翘起）,1
免工时发动机润滑,0
客户反映国庆要出远门,1
追加清洗节气门积碳报码,0
发动机护理（290）,0
检查电脑报警停车灯失效?,1
"整车概述:汽油,排气,发动机电子:空调:电气系统:",0
清洗喷油嘴、火花塞、燃烧室等,0
1客户反映:检查车辆变速箱报警,1
更换左大灯(工种：钣金),2
检查加油有时感觉无力,1
项目：事故检查底盘（华安）,2
53000公里保养,2
左前上饰板处漏水,1
重装发动机底板,0
更换右前轮（倍耐力22555R1797YRSC）,2
项目：底盘有油迹,1
车轮动平衡及轮胎换位,2
火花塞保养(更换),0
检查左后安全带未见异常,1
检查开空调时车内有异响,1
右裙边喷漆,2
"火花塞保养,预计价格:1239",0
项目已建议更换正时链条一套,0
客户反映倒车时踩刹车有异响,1
发动机油保养，预计费用：金卡,0
更换拆装前上控制臂(两侧),2
检查CUE不灵,1
火花塞悦享保养套餐SPARKPLUGS(费用：739RMB),0
发动机清洗剂(姜仕明)),0
检查2、3档时唑车,1
保养赠送四轮清洁养护,2
(4)进气道及节气门清洗,0
中控偶尔断电,1
更换燃油滤清器费用为1911元,0
检查行驶时车子发震,1
正时链轮壳组件(含机油泵),0
已告知客户电子气门马达及偏心着轴承机油压力调节阀存在故障，建议,1
发动机润滑系统二件套,0
检查行车起步时有时窒油,2
更换排气歧管总成,0
更换机油及格高端,2
左后杠修复喷漆（穗田维修）,2
油漆:车头门槛(右)左后门,2
有保险900元未交.建议拆除发动机下护板,0
检查TPMS灯亮充气,1
拆装发动机橡胶支座（左）2.0T,0
检查玻璃喷水没劲,1
点漆:左后门,2
更换空调调节器,0
常规检查清空滤发动机舱,0
行李舱:行李舱盖左下区域背门由于针孔或密封胶中的裂缝而开缝处(渗漏),1
发动机舱内线路养护,0
悦保养第3次剩余2次,2
前车门窗玻璃升降槽...更换(一侧)?,2
描述左前门打不开,1
人保核价1260元,2
后轮异响(开口胶松动更换开口胶,1
更换发动机支座JP,0
更换压缩机发电机,0
四门两盖铰链润滑保养,2
检查高压水泵是否漏水,1
孙家施救,2
更换空调滤芯67,2
发动机仓清洁及轮胎打蜡,0
整形左前后门左后叶右后叶,2
免费清洗线发动机舱,0
"100码时加油门,油门踏板抖动",1
更换火花塞高压包,0
描述怠速时有异响,1
检查行驶时打转向异响,1
检修方向盘处有异响,1
A2类基础保养卡1,2
用D4机油剩余带走,2
积分兑换清洗节气门,0
检查刚起步有时油门嗒嗒响(工种:机电),1
经陈晨检查无故障,1
更换前门主电动车窗开关总成后试车故障排除!,1
空调格52,2
描述保养(小),2
左后门板上部：喷漆,2
检查为前平衡杆衬套松动,1
下载应用软件,2
发动机机油道清洗750,0
安装保修发动机,0
客户描述:驾驶座椅晃动比较厉害,1
空调系统除臭杀菌保养,1
客户反映:驾驶位和副驾驶位的化妆镜盖板有松脱,1
序号：2索赔单号：SZ20170402769故障描述：录音机有杂音鉴定结果：经检查录音机有杂音,1
客户反映:车辆在老家刮过底盘,1
更换火花塞1549(旧件保留放在后,0
发动机润滑系统洗涤,0
拆装起动机压缩机,0
前后杠、右后门、右后叶子板烤漆,2
拆装仪表台更换鼓风机,1
不着车(侯正权试车),1
发动机润滑保养450,0
前杠破损处点漆,1
更换发动机左侧液压支架,0
拓印发动机号和车驾号,0
客户反映发动机提示传动系统故障车抖而且熄火,1
估价:420+检查后报价建议换?,2
更换左前升降开关.,2
对发动机控制单元进行编程(7个FRU),0
清洗完节气门后,0
换发动机油底壳排气管中段,0
更换前杠10885,2
检查起步车身发抖,1
换01J09L变速箱油及滤心,2
PDI检查2,2
检查左避震漏油,1
拆装前杠、翼子板、右前大灯,2
1.B更换前档及右前档盖板（裂）,1
换起动机3BD?,0
原因右后门玻璃开关故障,1
原因已建议更换右后刹车灯泡,2
20000公里保养(1.4TSI、1.8T),2
修行驶中OBD.EPCESP灯亮车抖,1
更换新保险丝后对车锁反复进行联锁、解锁测试,2
①车内无贵重物品，旧件是否保留（Y）,2
机油机滤火花塞,0
更换机油及机油滤清器(普通4L),0
TSI发动机每2万公里必须更换火花塞,0
更换龙门架.,2
订货:碳罐+碳罐电磁阀,0
节气门体清洗SGM:200,0
2009.10.2717,2
其它：客户反映车辆无论在怠速还是高速方向盘有明显抖动,1
拆卸和安装更新废气涡轮增压器的冷却液回流管路,0
根据客户要求检查车辆空调有异响?,1
本次预估:0元,2
更换后刹车片1737,2
客户反映:刹车检查是否到了,1
拆装更换右后外尾灯,2
更换汽油滤芯599元,2
两后轮胎轻微吃胎建议定位,1
发动机氢氧除碳?,0
项目换隔热垫前节,2
升级排查,2
桑塔纳发动机盖喷漆(金属漆),0
清洗水箱0013795,2
喷漆：后机盖.左后大梁.备胎地板,2
拆解照相定损?,2
后杠修复（新旭）,2
项目：左侧外边梁整形喷漆,2
项目检查油液面并添加,2
左前角报价,2
建议客户车辆做定程保养,2
"别克关怀""夏季空调免费健诊""活动",2
夏季关爱活动免费检查,2
报RDZA11172780律,2
"组合:节气门燃油管路,清洁",0
必要时进行维修经检查冷却系统无故障记忆,1
项目：拆装更换发动机右侧机脚,0
高端,2
更换三滤机油（美孚）,2
建议更换机滤座,2
发动机机油及格,0
已告知需做6万公里大保养，客户说下次做,2
事故车.保险公司联系:.平安,2
发动机机油油路清洗SPA保养费用:580元,0
更换汽油滤清器（内）,0
"项目：前杠,右前翼子板",2
更换发电机带,0
更换后围做漆,2
拆洗节气门等）,0
客户反映车辆右后减震漏气,1
前杠拆装更换左侧倒车镜底座,2
节气门系统保养（220）,0
钣金发动机头盖拆装,0
怀疑发电机,0
更新整个主油路机油滤清器底座垫和散热器垫,0
更换柴机油滤,2
更换机油及机滤(乐风),2
节气门脏，建议清洗,0
项目：后部制动器保养,2
项目发动机机舱保养,0
更换左后保杠灯,2
检查开空调瞬间,2
汽油泵1207,0
检查开空调设置吹头时有咔咔声,1
节气门清洗（套餐送）,0
右后门有时难开,1
发动机积碳免拆清洗,0
更换两后轮(右后轮放后备箱),2
后连接杆总成,2
48100方向盘2019吱吱声Replacedit.ticket591622,1
客户反映：行驶打方向会有异响（大角度转向）,1
检查刹车火花塞底盘?,0
免费检查全车液面、灯光、胎压,2
客户反映右后门漆面开裂锈蚀,1
时间:8月2日18：00,2
换发动机机油(4L),0
拆装发动机盖（人保）,0
"清洗油路,汽油格,火花塞,以上项目客户要求暂时不处理",0
发动机润滑清洁360,0
SRP机油保养更换机油机滤1144,2
检查轮胎气压报警1C,1
估价：3200元洗车（旧件打包后备箱）,2
检查行驶到100迈时方向盘抖,1
经检查水箱漏水,1
检查动力转向灯亮,1
客户反映：冷却液经常液位低报警,1
除FP发动机之外(工种：机电)?,0
更换右后门校位及喷漆,2
发动机保护燃烧四合一,0
右后保半做漆,2
检查半联动踩离合器异响,1
紧固四轮挡泥板?,1
"已平衡气压,胎压复位",2
清洗燃油滤清器,0
空滤盒破损,1
拆装或更换凸轮轴,2
检查左前及中间右侧的出风口异响,1
发动机清洗495元,0
参加活动，领取茶杯2个,2
"民安保险,右后门事故,客户提车付款",2
165000,2
左后半杠拆装喷漆附件,2
发动机清洗（JB）?,0
A12612公里规范常规保养,2
建议更换右后分泵(卡滞=暂时不处理),1
核桃砂深度清洗、节气门、进气道,0
项目：节气门接头拆卸和安装,0
项目波箱灯亮,1
检查走陡路时右后部有异响,1
检查开空调时车内噪音大,1
我们已检查并调整,2
燃油泵:拆卸清洗喷油嘴,0
发动机清洗（含材料）,0
拆装左前门左前翼子板,2
续保赠送500元工时券,2
添加发动机清洗剂保护剂进气燃油系统深化保养,0
更换火花塞921,0
经检查后备箱开关损坏,1
项目：检查车怠速抖加速70以上抖,1
车载逆变电源150W(米),2
项目四轮倒轮,2
更换火花塞、发动机舱养护,0
客户诉灯泡报警检查,1
15000KM保养2.0明锐,2
发动机润滑油养护,0
刹车抖动（建议更换前刹车盘）,1
检查打方向有异响方向盘抖动,1
安装后排座椅扣,2
挫,1
检查打方向吱吱响(不修),1
检查冷车急踩刹车时发动机抖,1
发动机转速脉冲信号轮拆卸和安装,0
更换左前雾灯罩及亮圈,2
右前叶子板整形小（400cm2以下）,2
经检查为换档机构内部卡滞导致,1
更换火花塞SPARKPLUGS(费用预计：BSI),0
更换音频视频导航前消音器,2
原因发动机有时出现加油加不上,0
发动机线路养护含材料,0
右前轮少气,1
起动机:起动机总成大修加冷媒,0
建议更换高压线及火花塞,0
发动机皮带养护,0
建议更换节气门体,0
更换凸轮轴调节器垫,0
建议更换助力油及养护,2
密封空调管路及装置?,2
装右前轮螺丝帽(2个),2
4个氧传感器,0
高压线圈,2
右前叶子板喷漆右前杠补齐,2
④发动机外表清洁护理、上光,0
四轮定位(右轮不正),1
拆装或更换自动变速箱油底壳床垫,2
客户反映喇叭异响客户所声明事项无法证实,1
"零件价格：7439.47,项目价格：2221.14",2
刚接的车,2
检查空气格及空调格,2
经车间技师检查发动机WT电机故障,1
需要清洗节气门及编程处理,0
检查倒车影像有时反应慢,1
优选机油一桶,2
现检查气门室盖损坏发动机烧机油,1
发动机润滑清洗(赠送发动机保护剂),0
拆装发动机左或右侧机脚.2.0TFSI,0
项目更换前凸轮轴油封,0
更换涡轮增压O型圈,2
检查超过2500转发动机噪音大,1
左后门板+防撞条(喷漆),1
清洗喷油嘴（B5）,2
K7更换火花塞,0
"客户反映:车辆怠速时发动有异响,车辆有点抖动,微冲,开起来就是声音",1
更换电源模块,2
空调风道可视化清洁杀菌,2
添加发动机保护剂(壳牌大),0
建议更换三滤及火花塞,0
检查车窗防夹功能报警,1
客户反映：右后玻璃下面的皮条掉下来了,1
检查加速无力、偶尔水温报警(建议更换增压器水管)?,1
钣喷+人保代办一次+差盖章件一份,1
座椅加热功能不能使用,1
前杠右侧补漆处理下回有空在处理,2
拆装进气歧管清洗积碳,0
节气门罩板已拆下并重新安装,0
仪表显示防滑系统暂时关闭、ABS灯亮,1
发动机润滑系统养护,0
本次费用预估:1579元,2
节气门清洗（购买6瓶添加剂赠送2瓶）,0
左后侧围更换,2
车内外清洁,2
检查轴承及羊角?,2
更换机油机滤986?,2
清洗节气门（含电脑复位）,0
注：检测发现机油格坐垫、散热器垫，分动器后油封均有漏油，已告知客户,1
火花塞保养费用为1467元,0
清洗节气门体1.8T2.0T(含电脑匹配）,0
三次打不着车,1
备注：技师检查客户车辆手刹失灵,1
项目更换动力转向油泵到转向机进油管油管总成?,0
嘉实多机油（材料）,2
机油泵外壳及盖…拆卸和安装,0
更换机油机滤前片,2
左门槛喷漆的拆卸和安装,2
更换空调格及清洗蒸发箱,2
客户表示只做机油保养,2
换件拆装机盖左后叶后围整形,2
检查左后排气光启动时抖动大,1
"115,000KM保养(RR,?",2
拆正时检异响,1
处理后备箱不能开,1
并进行相应维修,2
客户描述:检查有时候油位显示不准,1
养护套餐一（清洗节气门、清洗油路）,0
更换发动机机脚胶,0
换机油散热器密封胶圈,0
客户描述:今天车辆出现发动机声音很大,0
拆检后部后杠检查右后排气管,2
免费车辆外观清洗及内部吸尘,2
钣金修复:左前叶,2
更换右前翼子板及组件,2
需更换该车整体式交流发电机总成,0
空调吹出的风有异味(工种:机电),1
更换燃油泵(召回),0
后围板后杠后盖修复,2
其它：客户反映空调有异味,1
交车时间12.2号,2
清洗节气门阀体进气道,0
喷漆:前保、右前叶、后保、左后叶、后盖,2
检查140迈方向盘抖,1
发动机润滑清洗398,0
续保送免工时费润滑保养,2
换发动机冷却液橡胶管,0
定损书客户带走盖章,2
储存器读出故障,1
更换前减震两侧,1
雨刮只有最高档,2
涨紧器拆装、更换,1
检查后点烟器不好用,1
描述检查发动机自动加油,0
更换摆臂球头销总成、点火线圈总成及高压阻尼线总成后故障排除,1
清洗进气温度传感器(含清洗剂),0
左前右后翼子板(喷漆),2
更换前杠中网及附件,2
"发动机抖动,加油无力",1
处理前部刹车有异响声,1
《追加项目》EFI:喷油器总成拆装更换(全部),0
项目：客户反映刹车异响,1
拆装后部内饰件,2
"左大灯模块故障,缺货",1
空气滤清器:更换空调滤芯,2
涨紧轮异响,1
轮胎倒轮,2
异味建议客户换空调滤芯洗风道,1
前后轮刹车碟磨损超极限,1
"安援救援,MINI860074,发动机故障,拖车",1
项目：更换点火钥匙无遥控（含锉齿,2
J2更换变速箱油,2
免拆清洗节气门喷油嘴（含材料）,0
增值项目:发动机舱清洁,0
漏水情况严重，建议留厂,1
建议修复两前叶子板前杠线束,2
节气门清洗442,0
检查排气系统故障灯闪烁过,1
发动机支点下支架自带,0
车主反映倒车雷达异常检查,1
拆解报价落地照像旧件保留,2
发动机除碳?,0
清洗节气门体、ECM编程,0
前档受损新华信,1
发动机控制单元升级(24SZ2),0
已拆装发电机张紧轮,1
发动机电子:客户要求更换火花塞、更换右前门中控开关车身:客户要求更换前挡玻璃车身.外侧设备:,0
客户反映其车8000KM以上时就出现了胎噪声音比较大,1
按照55000公里保养,2
更换机油、机滤(昊锐),2
检查变速箱处有渗油现象,1
更换左右直拉杆,2
更换发动机后支座,0
项目：检查机油黄灯报警,1
换齿形正时皮带(不加防冻液),0
检查空气悬架下沉,1
客户反映挂P档时要往前推一下才能挂到位,1
客户反映车子后部有时候有个咕咕的声音,1
T5损坏,1
处理天窗漏水(疏通),1
销售赠送脚垫,2
清洗节气门工时80元+材料120元,0
更换发动机下护板及水箱下护板及其它拆装,0
拆装汽油滤清器（汽油格）,0
左前左轮爆裂,1
"P0300发动机缺货检测,已清码,建议使用",1
备注:经技师检查建议更换压缩机和皮带及张紧轮,1
更换分动箱油波箱油右前雾灯灯泡清洗节气门汽油泵,0
后尾厢打不开,1
工具泡沫,2
40K全车检查,2
拆装清洗节气门及匹配,0
项目：检测中排小座椅松动,1
检查启动时有时有杂音,1
9901调整前牌照板位置,2
3万公里时清洗节气门进气道喷油嘴,0
开空调吱吱响,1
其它：客户反映保险杠左右缝隙不一样,1
发动机润滑系统保护(无清洗),0
更好后档玻璃,2
客述:车头事故受损保险定损维修(平安),1
拆装车轮,2
拆装清洗节气门喷油嘴,0
发动机清洗保护四合一,0
"燃油滤清器保养,预计费用2125元",0
拖回车，客户陈述：车漏油，很严重,1
左前保、后保做漆,2
更换机油与机油滤芯,2
更换火花塞（新帕,0
建议更换火花塞、定速巡航开关,0
更换后制动钳故障消除!,1
拆\换转向柱万向节,2
进气系统(节气门)清洗保养,0
更换火花塞放油螺丝,0
更换机油、机滤(换油服务建议套,2
备注：技师检查发现右前钢圈中度变形,1
发动机曲轴箱箱清洗,0
项目检查点火钥匙失效,1
喷漆:右后胎铃,2
旧件处理顾客带走口交我司处理口,2
4SRP011燃油滤清器保养525,0
更换附件正时皮带,0
更新整个主油路机油滤清器垫圈,0
更换四个火花塞火花塞漏电引起抖动,1
钣金拆装修复前,2
项目需更换DSC调节器（已订货）,0
项目发动机深度养护,0
维修保养+小修,2
项目发动机清洗剂,0
局号:M7868,2
更换发动机支架,0
销售10万公里保养套餐,2
建议更换火花塞及清洗油路及更换变速箱油及刹车油,0
清洗进气道节气门喷油嘴养护套装,0
发动机罩铰链拆卸和安装,0
保修白冰张紧器异响,1
执行01表11项,2
清洗节气门及电脑匹配?,0
检查灯光报警M,1
发动机润滑系统清洗155,0
2011年冬季服务活动,2
01表检查胎压灯光刹车片等,2
更换3.4缸缸线火花塞,0
描述清洗节气门喷油嘴,0
客户反映：6碟CD不能用,1
30000公里保养套餐（TSI）,2
发动机油保养预估价格1200元,0
检查客人反映变速箱报警昨天出现一次,1
检测匀加速时有顿挫感,1
气缸盖:气缸盖垫片拆装更换(单侧)追加空气调节,0
左后内骨修理(~340cm2),2
注:火花塞已到更换里程,0
建议更换机脚胶及节温器,0
客户述：总提示变速箱过热检查,1
处理倒车镜松动(两侧),1
清洗节气门(POLO,0
温馨提示：我们已将您爱车音响座椅后视镜等恢复到进店时状态,1
theFL,2
索赔更换发动机,0
需更换电子燃油泵及支架总成,0
项目：拆装车内灯,2
车内循环系统杀菌消毒,2
发动机润滑油道保护,0
按喇叭时气囊外壳响,1
项目：检查底盘护板报价大,2
BMW6缸发动机的燃烧室清洗,0
更换发动机盖支架,0
检查雨刮喷水没劲,1
节气门修复,0
P0010进气凸轮轴电磁阀位置性能,0
原因检查左前大灯有土,2
更换增压回油管,0
"一级保养(机油,机油滤清器)",0
拆装修复前杠及下卡条,2
"清洗发动机内部油泥,积碳",0
免拆清洗发动机内部积碳(六缸)7折优惠,0
换机油及机油滤清器空滤,0
更换前翼子板_右侧(含前保、内衬拆装),2
检查120迈仪表显示制动失效,1
后轮嗡嗡响检查轴承,1
1.检查水箱漏水,1
"机油,机滤,空滤,空调滤",2
钣金更换损坏件等,1
psm按键不良psm开关无不良现象!未发现不良现象未发现不良现象,1
感恩活动太阳挡,2
客户要求保养周期设置为7500KM,2
发动机润滑系统清洗(2+1),0
右后门油漆(A2),2
检查左后门扬声器异常,1
控制台扶手,2
发动机机舱清洁,0
6070码左右发动机偶尔发抖,1
三万公里必须更换火花塞用户不换,0
火花塞不换！！！！,0
更换机油机滤（发动机清洗养护）,0
发动机电脑板重新标定,0
检查左前门外拉手不会回位,1
发动机高级养护套餐(清洗+养护),0
项目：车门把手座子更换（拆装内饰板,2
拆装防撞梁,1
检查后部倒车雷达不好使,1
检查热车行驶中会熄火、发吐,1
检修刹车异响,1
项目检查踩刹车有异响,1
变前曲后漏油,1
项目价格：1383.33,2
查右前雾灯底盘线束脱落,1
完工时间7日12时50分,2
H检查导航系统故障,1
门难开,1
更换机油机滤空滤空调滤优选,2
车辆底部受损天安保险,1
拆装更换右后尾灯(内侧),2
更换节温器上小水管,0
外拉手松,1
输油泵组件更换燃油泵清洗油箱,0
节气门清洗保养?,0
建议更换正时皮带（客户这次不做,0
检查全车液面、灯光、胎压?,2
林东二级做首保,2
行驶时油门踩重点发响,1
冬季送温暖+空调免费检查,2
更换左右安全带,2
"客户反映跑高速时亮44故障灯,手刹灯,安全气囊灯,非高速路不会亮",1
拆装或更换机油泵滤网,0
检查客户反映防冻液报过警,1
M30000KM保养(机滤,2
发动机亮故障灯问题建议：清洗发,1
免费全车检查+清洗发动机舱,0
全车检查、补充胎压,2
更换正时皮带4缸,0
建议更换进气电磁阀,0
左前轮外撑臂修复,2
升到顶端有点响,1
检查点火开关卡不住钥匙,1
汽车室内空调消毒,2
节温器更换,0
四合一及发动机舱清洁,0
拆装碳罐检查汽油味大,1
更新前部两个排气歧管,0
更换机滤、机油、空滤（合成机油壳牌）,2
发动机ECU(4G15和4G18),0
添加发动机磨合保护剂(工种:机电),0
开空调抖动(工种:机电),1
项目：进气道及燃烧室除积碳,2
已建议清洗喷油嘴及节气门,0
项目更换火花塞及高压线,0
更换水箱面罩(中网),2
描述更换机油尺,0
服务顾问史晋文049046（电话：）,2
建议每1.5万KM清洗节气门及三元催化,0
2010年奥迪秋季免费检测活动,2
拆装机油冷却器水管,0
检查倒车右侧反光镜不能复位车速低,1
检查导航系统不能使用,1
刚贴过膜,2
客户反映节电器启用,1
更换燃油位置传感器PASSATB5,0
建议检查右后轮胎扎丁子,2
添加机油(小桶专用机油),2
油底壳渗油(以前清理过)未见异常,1
"节气门体损坏,客户暂不处理",1
清洁润滑天窗滑轨,2
检查打方向异响(未见异常),1
更新左滑振快,1
发动机燃烧室气门积碳深度清洗,0
建议更换汽油滤清器（Q7）,0
拆装火花塞（2.4全部）,0
60000公里发动机保养(SLA),0
更换外部花粉过滤器,2
更换正时链条总成,0
建议到19986km做换油服务,2
每5000公里保养(美),2
(左)前车门内饰板拆卸安装,2
27600起动机1613偶尔停止工作,1
清洗发动机机油道156元,0
B柱(右侧):平修,2
需更换左后门电动玻璃升降器总成后排除故障?,1
6679L后视镜壳，外部左侧9734不能重现客户投诉后视镜正常,1
胎压雨刮报警,1
行驶里程:31668KM,2
拆装或更换火花塞(工艺MR08),0
建议更换火花塞(没货),0
建议更换右前门密封条,2
检修发动机换一二缸连杆,0
更新外部燃油滤清器(中国国家规格，或SA1AE),0
检查气囊灯亮.处理气囊插头,1
后行李箱拆装附件拆装,2
左侧倒车镜事故钣金报价,2
1.客户反映:按服务信息维修活动编号:0,1
免拆清洗节气门\进气道\喷油嘴,0
检查水温高漏防冻液,1
拆装前保险杠、左前翼子板、大灯、修复发动机盖、翼子板内铁,0
金卡赠送清洗节气门喷油嘴进气道,0
火花塞附加保养完成,0
项目更换一对发动机机盖撑杆,0
更换左边后视镜灯,2
更换空调干燥瓶,2
检查碟片正常,2
无论怎么按遥控上面的开锁键,1
其它：检查点烟器不工作（订货已到）,1
检查加油发动机异响,1
原因怀疑离合器压盘故障活离合器片不平,1
轮胎有异响(工种：机电),1
更换废弃涡轮增压器的辅助水泵,0
发动机润滑提升保护剂,0
拆装右前门内饰板紧固升降器螺丝,1
更换二滤机油,2
轮胎礼,2
拆装左后轮罩(B5、POLO),2
检查车子启动不了钥匙也拔不出来,1
清洗整个燃油箱,2
首次5000公里免费保养合成,2
索赔:更换前车轮轴承组件,2
燃油滤清器:燃油滤清器总成或燃油吸油盘分总成拆装更换,0
发动机仓空调管补一个盖,0
清洗节气门（6缸）,0
客户反映车辆有漏油现象,1
检查倒车雷达发生误报,1
客户反映ABS异响,1
购买6瓶添加剂赠送节气门清洗,0
发动机润滑系统深化保养套餐,0
检查多媒体导航系统不能工作,1
前制动卡钳紧固件1侧更换（包括：更换制动块）,1
"更新变速箱油,后差速器油",1
RC更换发动机前悬挂软垫总成,0
备注：PDC报警使用正常,1
更换氧传感器（发动机控制）（到货）,0
太保核价付款￥1450,2
汽油泵损坏,1
发动机线路弱电养护,0
打方向不平路面底盘异响,1
检查油箱盖偶尔打不开1C,1
分解和组装发动机（六缸）,0
项目：5000公里保养（B8）全车电脑检测,2
前杠下巴),2
检测亮故障灯,1
发动机下横拉杆更换车辆上,0
检查方向左打死有咔一声,1
建议更换气门室罩盖(浸油),1
项目：发动机机油滤清器总成,0
免费午餐时间11:3013:00,2
描述检查空调制冷温度是否正常,2
